p1_lvl,p2_lvl,cell_area,maj_axis,min_axis,condition,replication
285.79645,318.38006,88.48058,9.73106,3.09819,e0,1
228.01462,316.57763,95.36651,10.02494,3.14376,e0,1
331.06314,352.47901,95.07759,10.57045,3.02686,e0,1
368.32333,345.23546,57.87355,8.17404,2.39859,e0,1
318.78085,348.54889,69.52686,9.03779,2.62459,e0,1
392.17585,254.37133,62.15069,7.37810,2.89031,e0,1
248.42713,309.43194,96.22936,9.97776,3.21770,e0,1
333.09830,324.79517,60.87428,8.13625,2.56856,e0,1
188.83207,204.44771,85.47333,7.79036,3.73749,e0,1
330.14482,342.66036,38.47213,6.65281,1.96568,e0,1
351.67918,310.55770,32.08553,5.81798,1.89354,e0,1
399.50163,207.99703,79.25026,7.49544,3.50473,e0,1
305.19330,308.80702,38.09492,6.28308,2.07886,e0,1
378.22542,319.41648,47.25658,7.10468,2.22641,e0,1
314.91002,220.91181,42.48324,5.65541,2.54041,e0,1
282.34742,310.58419,35.63771,6.12515,2.02490,e0,1
268.11469,238.53360,81.31966,8.19415,3.37282,e0,1
322.59972,387.47451,55.44279,8.45216,2.24068,e0,1
238.74242,229.63458,79.89441,7.93529,3.40710,e0,1
265.52444,218.86942,34.60559,5.12784,2.34171,e0,1
340.05185,430.99758,64.24265,9.57505,2.27425,e0,1
338.28746,207.65511,69.41263,7.02665,3.29375,e0,1
299.95751,278.12184,60.15671,7.49748,2.73644,e0,1
297.45905,207.72304,61.38508,6.60358,3.07512,e0,1
331.79436,257.78265,58.95614,7.23118,2.76878,e0,1
286.49248,329.52569,21.46614,4.90384,1.56097,e0,1
290.55355,368.26674,26.53970,5.74179,1.58468,e0,1
297.64739,351.96622,48.98491,7.62735,2.18330,e0,1
362.68352,293.32912,39.67769,6.24023,2.19482,e0,1
346.18951,351.71717,38.84533,6.77786,1.99119,e0,1
358.10473,273.63324,94.61254,9.30503,3.38056,e0,1
292.50105,267.00078,68.48148,7.86192,2.92560,e0,1
307.71130,388.07532,68.84663,9.42018,2.49537,e0,1
273.30393,276.77438,63.04906,7.70545,2.80843,e0,1
377.22367,292.66489,61.90127,7.78675,2.69519,e0,1
374.66099,274.22602,71.07226,8.07369,2.91096,e0,1
308.62882,319.80353,49.06446,7.28067,2.34024,e0,1
260.25718,135.38010,44.64614,4.65042,3.25740,e0,1
197.91743,244.73618,70.78214,7.69480,3.10805,e0,1
289.04188,245.01001,38.17651,5.61195,2.30270,e0,1
312.58473,293.26252,60.32489,7.76616,2.69795,e0,1
275.85305,341.34930,68.09873,8.81419,2.60867,e0,1
298.44020,295.06763,40.29448,6.36479,2.12100,e0,1
388.39865,345.88515,97.80535,10.66640,3.15501,e0,1
322.80881,319.72274,37.87019,6.46521,2.05835,e0,1
251.31020,324.28348,35.01285,6.20988,1.92576,e0,1
305.94199,193.17289,46.82912,5.57015,2.85558,e0,1
265.95610,198.93004,113.45629,8.77821,4.32956,e0,1
272.03375,278.89507,17.43577,4.08970,1.49710,e0,1
251.00562,373.30188,36.16362,6.77171,1.83533,e0,1
264.07911,294.73551,77.11741,8.75055,2.96342,e0,1
337.96193,267.52691,65.49886,7.66914,2.88578,e0,1
305.15420,218.07293,84.32577,7.89469,3.60423,e0,1
296.63735,107.69067,65.20874,5.06738,4.36284,e0,1
239.04984,230.58935,38.06537,5.50070,2.43197,e0,1
355.29836,322.11431,87.82651,9.71236,3.03094,e0,1
312.62930,256.64080,90.65532,8.85688,3.43444,e0,1
257.09488,300.38061,72.64921,8.56024,2.85617,e0,1
361.97785,278.51100,33.64695,5.69477,2.03628,e0,1
357.50221,258.23514,93.63110,9.06044,3.44910,e0,1
214.23915,381.94509,56.60715,8.52628,2.24459,e0,1
285.67568,440.39733,40.73809,7.71898,1.77893,e0,1
254.19005,345.04146,83.10916,9.80278,2.83675,e0,1
276.92175,236.24835,48.11360,6.19497,2.64770,e0,1
277.80594,334.77314,78.44838,9.38393,2.83232,e0,1
294.29882,141.40180,76.68855,6.19346,4.25483,e0,1
241.90936,237.35342,61.10270,7.05862,2.97799,e0,1
203.14228,180.18971,56.96752,6.00268,3.26202,e0,1
271.46669,301.16610,70.55316,8.48966,2.81675,e0,1
323.29712,286.45362,41.64774,6.42010,2.25467,e0,1
279.09592,214.47313,66.48805,7.00152,3.23385,e0,1
305.44382,270.01063,44.33057,6.41381,2.38528,e0,1
